date,region,state,cases,deaths
2020-02-07,Sudeste,São Paulo,0,0
2020-02-07,Sul,Paraná,0,0
2020-02-07,Sul,Rio Grande do Sul,0,0
2020-02-07,Sul,Santa Catarina,0,0
2020-02-08,Centro-Oeste,Distrito Federal,0,0
2020-02-08,Centro-Oeste,Goiás,0,0
2020-02-08,Centro-Oeste,Mato Grosso,0,0
2020-02-08,Centro-Oeste,Mato Grosso do Sul,0,0
2020-02-08,Nordeste,Alagoas,0,0
2020-02-08,Nordeste,Bahia,0,0
2020-02-08,Nordeste,Ceará,0,0
2020-02-08,Nordeste,Maranhão,0,0
2020-02-08,Nordeste,Paraíba,0,0
2020-02-08,Nordeste,Pernambuco,0,0
2020-02-08,Nordeste,Piauí,0,0
2020-02-08,Nordeste,Rio Grande do Norte,0,0
2020-02-08,Nordeste,Sergipe,0,0
2020-02-08,Norte,Acre,0,0
2020-02-08,Norte,Amapá,0,0
2020-02-08,Norte,Amazonas,0,0
2020-02-08,Norte,Pará,0,0
2020-02-08,Norte,Rondônia,0,0
2020-02-08,Norte,Roraima,0,0
2020-02-08,Norte,Tocantins,0,0
2020-02-08,Sudeste,Espírito Santo,0,0
2020-02-08,Sudeste,Minas Gerais,0,0
2020-02-08,Sudeste,Rio de Janeiro,0,0
2020-02-08,Sudeste,São Paulo,0,0
2020-02-08,Sul,Paraná,0,0
2020-02-08,Sul,Rio Grande do Sul,0,0
2020-02-08,Sul,Santa Catarina,0,0
2020-02-09,Centro-Oeste,Distrito Federal,0,0
2020-02-09,Centro-Oeste,Goiás,0,0
2020-02-09,Centro-Oeste,Mato Grosso,0,0
2020-02-09,Centro-Oeste,Mato Grosso do Sul,0,0
2020-02-09,Nordeste,Alagoas,0,0
2020-02-09,Nordeste,Bahia,0,0
2020-02-09,Nordeste,Ceará,0,0
2020-02-09,Nordeste,Maranhão,0,0
2020-02-09,Nordeste,Paraíba,0,0
2020-02-09,Nordeste,Pernambuco,0,0
2020-02-09,Nordeste,Piauí,0,0
2020-02-09,Nordeste,Rio Grande do Norte,0,0
2020-02-09,Nordeste,Sergipe,0,0
2020-02-09,Norte,Acre,0,0
2020-02-09,Norte,Amapá,0,0
2020-02-09,Norte,Amazonas,0,0
2020-02-09,Norte,Pará,0,0
2020-02-09,Norte,Rondônia,0,0
2020-02-09,Norte,Roraima,0,0
2020-02-09,Norte,Tocantins,0,0
